px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-26.5269	0.932375	4.92563	1.38384	-0.540343	-26.7293	1.06082	-26.5069	0.881666	0.846334	4.77986	7.21972e-007
-26.4892	1.18884	4.9368	1.37741	-0.491765	-25.9562	2.60409	-26.4616	1.12009	0.968955	4.76007	7.86083e-006
-26.4325	1.42844	4.93469	1.35046	-0.494283	-26.3986	1.42212	-26.4101	1.35745	1.09053	4.73737	7.27079e-007
-26.3937	1.64918	4.90174	1.33855	-0.469725	-26.5072	-0.563928	-26.3526	1.59361	1.21096	4.71181	9.81059e-006
-26.3386	1.86484	4.8708	1.31535	-0.470285	-26.3594	1.79315	-26.2891	1.82841	1.33018	4.68345	7.10742e-007
-26.2705	2.09615	4.86882	1.28686	-0.481253	-26.3475	1.82827	-26.2197	2.06173	1.44811	4.65235	1.19492e-005
-26.2079	2.29491	4.82064	1.26343	-0.481797	-26.2502	2.18481	-26.1444	2.29342	1.56467	4.61859	7.14737e-007
-26.1452	2.5238	4.81169	1.25289	-0.45269	-26.069	2.27896	-26.0633	2.52336	1.67979	4.58223	1.58383e-005
-26.0668	2.76444	4.82974	1.23111	-0.451362	-26.0641	2.80701	-25.9765	2.75141	1.79339	4.54334	7.28704e-007
-25.9716	2.98708	4.83807	1.18914	-0.496257	-26.3234	3.02388	-25.8841	2.97746	1.90543	4.502	1.90574e-005
-25.871	3.2599	4.90741	1.16659	-0.492263	-25.8345	3.42005	-25.7861	3.20139	2.01582	4.45828	7.65282e-007
-25.7882	3.48892	4.90948	1.14707	-0.488644	-26.1824	3.73376	-25.6826	3.42306	2.12452	4.41227	2.57708e-005
-25.6821	3.69337	4.88636	1.11966	-0.492344	-25.6666	3.63509	-25.5737	3.64239	2.23146	4.36404	8.15956e-007
-25.5653	3.90185	4.87818	1.08871	-0.503327	-25.5773	3.13316	-25.4596	3.85924	2.3366	4.31367	3.20074e-005
-25.4973	4.0873	4.82051	1.0756	-0.492119	-25.7492	3.99968	-25.3402	4.07353	2.43989	4.26125	8.47328e-007
-25.374	4.29054	4.81495	1.04646	-0.499281	-25.3516	3.75691	-25.2157	4.28514	2.54127	4.20686	3.86011e-005
-25.2147	4.50586	4.84262	1.01084	-0.509828	-25.0214	4.52803	-25.0863	4.49399	2.64071	4.15058	8.83659e-007
-25.0642	4.70311	4.83453	0.986979	-0.49327	-24.2719	4.30917	-24.9518	4.69998	2.73817	4.09251	4.93757e-005
